tag,p0,p1,diff,abs_diff
equipment,0.29751976605653635,0.4915254237288136,-0.19400565767227723,0.19400565767227723
dietary,0.7125527997400628,0.8305084745762712,-0.11795567483620839,0.11795567483620839
oven,0.13202642694682118,0.23598435462842243,-0.10395792768160125,0.10395792768160125
meat,0.23231885627639987,0.31421121251629724,-0.08189235623989738,0.08189235623989738
occasion,0.48597422289613346,0.5645371577574967,-0.07856293486136323,0.07856293486136323
stove-top,0.09357738546517926,0.16427640156453716,-0.0706990160993579,0.0706990160993579
taste-mood,0.225387198093794,0.2894393741851369,-0.06405217609134287,0.06405217609134287
north-american,0.20556698797790535,0.2685788787483703,-0.06301189077046493,0.06301189077046493
main-dish,0.30423480992093577,0.3650586701434159,-0.06082386022248015,0.06082386022248015
low-in-something,0.36055453265460846,0.41851368970013036,-0.0579591570455219,0.0579591570455219
cuisine,0.3819993501570454,0.4380704041720991,-0.05607105401505369,0.05607105401505369
comfort-food,0.11101483808079714,0.16688396349413298,-0.05586912541333584,0.05586912541333584
low-carb,0.18033141990685583,0.23076923076923078,-0.05043781086237495,0.05043781086237495
american,0.1295353622874472,0.17861799217731422,-0.04908262988986703,0.04908262988986703
to-go,0.07505686125852919,0.12385919165580182,-0.048802330397272636,0.048802330397272636
kid-friendly,0.1113397595581068,0.1590612777053455,-0.04772151814723871,0.04772151814723871
number-of-servings,0.2429329578685151,0.2894393741851369,-0.04650641631662178,0.04650641631662178
main-ingredient,0.7397378966749703,0.7848761408083442,-0.04513824413337397,0.04513824413337397
inexpensive,0.1393913137658399,0.18122555410691005,-0.04183424034107014,0.04183424034107014
holiday-event,0.14469836456189755,0.18513689700130379,-0.04043853243940623,0.04043853243940623
chicken,0.0861041914870573,0.12516297262059975,-0.039058781133542456,0.039058781133542456
pork,0.05101267193761508,0.08865710560625815,-0.037644433668643076,0.037644433668643076
3-steps-or-less,0.1703671612693599,0.13298565840938723,0.03738150285997269,0.03738150285997269
side-dishes,0.12325354705946064,0.16036505867014342,-0.03711151161068278,0.03711151161068278
beginner-cook,0.15227986569912272,0.18904823989569752,-0.036768374196574805,0.036768374196574805
easy,0.5330878371060327,0.5697522816166884,-0.03666444451065576,0.03666444451065576
desserts,0.18596339218022312,0.15123859191655803,0.03472480026366509,0.03472480026366509
high-protein,0.02945954727607495,0.06388526727509779,-0.03442571999902284,0.03442571999902284
potluck,0.04397270659590599,0.07692307692307693,-0.032950370327170936,0.032950370327170936
high-in-something,0.04830499296003466,0.07953063885267275,-0.03122564589263809,0.03122564589263809
weeknight,0.08762049171450233,0.11864406779661017,-0.031023576082107845,0.031023576082107845
course,0.9386981479475793,0.9687092568448501,-0.030011108897270766,0.030011108897270766
dinner-party,0.15108848694898733,0.17992177314211213,-0.028833286193124807,0.028833286193124807
beef,0.07169933932632946,0.09908735332464146,-0.02738801399831199,0.02738801399831199
poultry,0.1004007364886819,0.12777053455019557,-0.02736979806151367,0.02736979806151367
eggs-dairy,0.12736921910538287,0.15384615384615385,-0.02647693474077098,0.02647693474077098
seasonal,0.09531030001083071,0.121251629726206,-0.025941329715375286,0.025941329715375286
lunch,0.104949637171017,0.1303780964797914,-0.025428459308774395,0.025428459308774395
crock-pot-slow-cooker,0.02772663273042348,0.05215123859191656,-0.02442460586149308,0.02442460586149308
copycat,0.0057402794324704865,0.02998696219035202,-0.024246682757881534,0.024246682757881534
ground-beef,0.0336835264811004,0.05736636245110821,-0.02368283597000781,0.02368283597000781
cheese,0.06368460955269144,0.08604954367666232,-0.022364934123970878,0.022364934123970878
very-low-carbs,0.03465829091302935,0.054758800521512385,-0.020100509608483037,0.020100509608483037
low-calorie,0.1639770388822701,0.18383311603650587,-0.019856077154235763,0.019856077154235763
finger-food,0.02577710386656558,0.04563233376792699,-0.01985522990136141,0.01985522990136141
presentation,0.10549117296653308,0.12516297262059975,-0.019671799654066666,0.019671799654066666
fruit,0.13625040615184664,0.11734028683181226,0.018910119320034377,0.018910119320034377
barbecue,0.016462688183688942,0.035202086049543675,-0.018739397865854733,0.018739397865854733
novelty,0.01689591682010181,0.035202086049543675,-0.018306169229441865,0.018306169229441865
picnic,0.03249214773096502,0.04954367666232073,-0.01705152893135571,0.01705152893135571
grilling,0.018520524206650058,0.035202086049543675,-0.016681561842893617,0.016681561842893617
canadian,0.019386981479475793,0.035202086049543675,-0.015815104570067882,0.015815104570067882
stews,0.005415357955160836,0.020860495436766623,-0.015445137481605788,0.015445137481605788
appetizers,0.08783710603270876,0.10299869621903521,-0.015161590186326443,0.015161590186326443
fall,0.03335860500379075,0.048239895697522815,-0.014881290693732063,0.014881290693732063
time-to-make,0.9747644319289505,0.9895697522816167,-0.01480532035266624,0.01480532035266624
yeast,0.00888118704646377,0.02346805736636245,-0.01458687031989868,0.01458687031989868
savory,0.04429762807321564,0.05867014341590613,-0.01437251534269049,0.01437251534269049
pasta-rice-and-grains,0.12260370410484132,0.13689700130378096,-0.014293297198939639,0.014293297198939639
breads,0.0628181522798657,0.07692307692307693,-0.014104924643211225,0.014104924643211225
low-saturated-fat,0.1348424130835048,0.14863102998696218,-0.013788616903457368,0.013788616903457368
beverages,0.04061518466370627,0.027379400260756193,0.013235784402950077,0.013235784402950077
spicy,0.03639120545868082,0.04954367666232073,-0.01315247120363991,0.01315247120363991
european,0.10072565796599155,0.11342894393741851,-0.012703285971426961,0.012703285971426961
cakes,0.03855734864074516,0.02607561929595828,0.012481729344786877,0.012481729344786877
salads,0.0693165818260587,0.05736636245110821,0.011950219374950485,0.011950219374950485
mexican,0.028484782844145996,0.04041720990873533,-0.011932427064589336,0.011932427064589336
chicken-breasts,0.035091519549442216,0.0469361147327249,-0.011844595183282687,0.011844595183282687
for-large-groups,0.07408209682660023,0.06258148631029987,0.011500610516300358,0.011500610516300358
summer,0.04332286364128669,0.054758800521512385,-0.011435936880225699,0.011435936880225699
low-protein,0.14242391422073,0.15384615384615385,-0.011422239625423852,0.011422239625423852
potatoes,0.04483916386873172,0.0560625814863103,-0.011223417617578578,0.011223417617578578
served-hot,0.051445900574027946,0.06258148631029987,-0.011135585736271929,0.011135585736271929
diabetic,0.02935124011697173,0.04041720990873533,-0.011065969791763601,0.011065969791763601
lactose,0.016354381024585724,0.027379400260756193,-0.011025019236170469,0.011025019236170469
cookies-and-brownies,0.05729448716560165,0.06779661016949153,-0.010502123003889877,0.010502123003889877
vegetarian,0.14989710819885194,0.16036505867014342,-0.010467950471291482,0.010467950471291482
pasta,0.060652009097801364,0.07040417209908735,-0.009752163001285986,0.009752163001285986
snacks,0.033141990685584315,0.02346805736636245,0.009673933319221863,0.009673933319221863
winter,0.03205891909455215,0.041720990873533245,-0.009662071778981096,0.009662071778981096
4-hours-or-less,0.19506119354489332,0.2046936114732725,-0.009632417928379183,0.009632417928379183
healthy-2,0.12076248240008665,0.1303780964797914,-0.009615614079704751,0.009615614079704751
quick-breads,0.027185096934907397,0.03650586701434159,-0.009320770079434191,0.009320770079434191
brown-bag,0.01288855193328279,0.02216427640156454,-0.00927572446828175,0.00927572446828175
one-dish-meal,0.07808946171341925,0.08735332464146023,-0.009263862928040975,0.009263862928040975
30-minutes-or-less,0.2606953319614427,0.26988265971316816,-0.009187327751725483,0.009187327751725483
free-of-something,0.04830499296003466,0.05736636245110821,-0.00906136949107355,0.00906136949107355
southern-united-states,0.027618325571320265,0.03650586701434159,-0.008887541443021323,0.008887541443021323
breakfast,0.05783602296111773,0.06649282920469361,-0.008656806243575885,0.008656806243575885
15-minutes-or-less,0.17924834831582367,0.17079530638852672,0.008453041927296956,0.008453041927296956
5-ingredients-or-less,0.12195386115022203,0.1303780964797914,-0.008424235329569374,0.008424235329569374
mushrooms,0.013755009206108523,0.02216427640156454,-0.008409267195456016,0.008409267195456016
valentines-day,0.011155637387631322,0.01955671447196871,-0.008401077084337388,0.008401077084337388
oamc-freezer-make-ahead,0.016462688183688942,0.024771838331160364,-0.008309150147471422,0.008309150147471422
tomatoes,0.025235568071049496,0.01694915254237288,0.008286415528676615,0.008286415528676615
camping,0.0073648868190187376,0.01564537157757497,-0.008280484758556231,0.008280484758556231
beans,0.041373334777428786,0.04954367666232073,-0.008170341884891942,0.008170341884891942
roast,0.004873822159644752,0.01303780964797914,-0.008163987488334388,0.008163987488334388
heirloom-historical,0.016679302501895376,0.024771838331160364,-0.008092535829264988,0.008092535829264988
muffins,0.012996859092386006,0.020860495436766623,-0.007863636344380616,0.007863636344380616
chicken-thighs-legs,0.005198743636954403,0.01303780964797914,-0.007839066011024737,0.007839066011024737
brunch,0.08242174807754793,0.08996088657105607,-0.007539138493508138,0.007539138493508138
carrots,0.012671937615076357,0.005215123859191656,0.007456813755884702,0.007456813755884702
pork-loins,0.004440593523231885,0.011734028683181226,-0.00729343515994934,0.00729343515994934
turkey,0.009747644319289504,0.002607561929595828,0.0071400823896936765,0.0071400823896936765
sandwiches,0.023935882161810897,0.01694915254237288,0.006986729619438015,0.006986729619438015
chick-peas-garbanzos,0.004982129318747969,0.011734028683181226,-0.006751899364433257,0.006751899364433257
yams-sweet-potatoes,0.006715043864399437,0.0,0.006715043864399437,0.006715043864399437
pineapple,0.01061410159211524,0.003911342894393742,0.006702758697721497,0.006702758697721497
northeastern-united-states,0.010505794433012023,0.01694915254237288,-0.006443358109360859,0.006443358109360859
apples,0.024694032275533413,0.018252933507170794,0.006441098768362619,0.006441098768362619
pork-chops,0.00660673670529622,0.01303780964797914,-0.00643107294268292,0.00643107294268292
from-scratch,0.008989494205566988,0.002607561929595828,0.00638193227597116,0.00638193227597116
puddings-and-mousses,0.011372251705837756,0.005215123859191656,0.0061571278466461005,0.0061571278466461005
food-processor-blender,0.020361745911404744,0.014341590612777053,0.006020155298627691,0.006020155298627691
southwestern-united-states,0.01353839488790209,0.01955671447196871,-0.006018319584066619,0.006018319584066619
freezer,0.0059568937506769195,0.011734028683181226,-0.005777134932504306,0.005777134932504306
easter,0.008664572728257337,0.014341590612777053,-0.005677017884519716,0.005677017884519716
blueberries,0.006065200909780136,0.011734028683181226,-0.005668827773401089,0.005668827773401089
brownies,0.004765515000541536,0.010430247718383311,-0.005664732717841775,0.005664732717841775
spring,0.01787068125203076,0.02346805736636245,-0.005597376114331691,0.005597376114331691
spanish,0.004873822159644752,0.010430247718383311,-0.005556425558738559,0.005556425558738559
bar-cookies,0.017978988411133975,0.02346805736636245,-0.005489068955228476,0.005489068955228476
berries,0.023286039207191595,0.028683181225554105,-0.00539714201836251,0.00539714201836251
1-day-or-more,0.00790642261453482,0.002607561929595828,0.0052988606849389925,0.0052988606849389925
cocktails,0.013105166251489223,0.007822685788787484,0.005282480462701739,0.005282480462701739
peppers,0.014404852160727824,0.009126466753585397,0.005278385407142427,0.005278385407142427
south-west-pacific,0.018303909888443628,0.01303780964797914,0.005266100240464488,0.005266100240464488
gifts,0.030109390230694248,0.035202086049543675,-0.005092695818849427,0.005092695818849427
tropical-fruit,0.021986353297952996,0.01694915254237288,0.0050372007555801145,0.0050372007555801145
onions,0.024585725116430195,0.01955671447196871,0.005029010644461485,0.005029010644461485
elbow-macaroni,0.006715043864399437,0.011734028683181226,-0.005018984818781789,0.005018984818781789
seafood,0.07018303909888443,0.0651890482398957,0.004993990858988731,0.004993990858988731
grains,0.026318639662081665,0.03129074315514994,-0.004972103493068272,0.004972103493068272
pies,0.013321780569695657,0.018252933507170794,-0.004931152937475137,0.004931152937475137
asparagus,0.008664572728257337,0.003911342894393742,0.004753229833863595,0.004753229833863595
egg-free,0.021661431820643343,0.01694915254237288,0.004712279278270462,0.004712279278270462
independence-day,0.009747644319289504,0.014341590612777053,-0.004593946293487548,0.004593946293487548
nuts,0.030542618867107116,0.02607561929595828,0.004466999571148836,0.004466999571148836
60-minutes-or-less,0.310841546626232,0.30638852672750977,0.00445301989872221,0.00445301989872221
preparation,0.9955594064767681,1.0,-0.004440593523231895,0.004440593523231895
african,0.011372251705837756,0.01564537157757497,-0.0042731198717372125,0.0042731198717372125
bacon,0.007473193978121954,0.011734028683181226,-0.004260834705059272,0.004260834705059272
granola-and-porridge,0.006173508068883353,0.010430247718383311,-0.004256739649499958,0.004256739649499958
cauliflower,0.004873822159644752,0.009126466753585397,-0.004252644593940645,0.004252644593940645
pitted-fruit,0.006715043864399437,0.002607561929595828,0.004107481934803609,0.004107481934803609
microwave,0.01061410159211524,0.00651890482398957,0.00409519676812567,0.00409519676812567
midwestern,0.01158886602404419,0.01564537157757497,-0.004056505553530779,0.004056505553530779
sweet,0.04440593523231886,0.04041720990873533,0.0039887253235835265,0.0039887253235835265
strawberries,0.010397487273908806,0.014341590612777053,-0.003944103338868247,0.003944103338868247
rolls-biscuits,0.007798115455431604,0.011734028683181226,-0.003935913227749621,0.003935913227749621
frozen-desserts,0.009097801364670205,0.005215123859191656,0.003882677505478549,0.003882677505478549
drop-cookies,0.01321347341059244,0.01694915254237288,-0.003735679131780441,0.003735679131780441
mixer,0.0075815011372251705,0.003911342894393742,0.0036701582428314283,0.0036701582428314283
spreads,0.010180872955702372,0.00651890482398957,0.003661968131712802,0.003661968131712802
low-cholesterol,0.16202751001841223,0.16558018252933507,-0.0035526725109228385,0.0035526725109228385
new-years,0.008231344091844471,0.011734028683181226,-0.0035026845913367546,0.0035026845913367546
central-american,0.00693165818260587,0.010430247718383311,-0.0034985895357774414,0.0034985895357774414
low-sodium,0.1833640203617459,0.17992177314211213,0.003442247219633765,0.003442247219633765
soups-stews,0.05296220080147298,0.04954367666232073,0.0034185241391522514,0.0034185241391522514
high-calcium,0.021661431820643343,0.018252933507170794,0.0034084983134725494,0.0034084983134725494
australian,0.012347016137766707,0.009126466753585397,0.0032205493841813097,0.0032205493841813097
bisques-cream-soups,0.008556265569154122,0.011734028683181226,-0.003177763114027104,0.003177763114027104
greek,0.008556265569154122,0.011734028683181226,-0.003177763114027104,0.003177763114027104
tex-mex,0.006065200909780136,0.009126466753585397,-0.0030612658438052606,0.0030612658438052606
tuna,0.009531030001083072,0.00651890482398957,0.0030121251770935022,0.0030121251770935022
chowders,0.004873822159644752,0.007822685788787484,-0.002948863629142732,0.002948863629142732
vegetables,0.2434744936640312,0.24641460234680573,-0.002940108682774528,0.002940108682774528
shellfish,0.032925376367377884,0.02998696219035202,0.002938414177025863,0.002938414177025863
green-yellow-beans,0.006823351023502654,0.003911342894393742,0.0029120081291089117,0.0029120081291089117
corn,0.011913787501353839,0.009126466753585397,0.002787320747768442,0.002787320747768442
pork-sausage,0.006390122387089786,0.009126466753585397,-0.0027363443664956107,0.0027363443664956107
small-appliance,0.03530813386764865,0.03259452411994785,0.002713609747700803,0.002713609747700803
punch,0.00530705079605762,0.002607561929595828,0.002699488866461792,0.002699488866461792
spaghetti,0.009097801364670205,0.00651890482398957,0.0025788965406806346,0.0025788965406806346
no-cook,0.02480233943463663,0.027379400260756193,-0.002577060826119564,0.002577060826119564
candy,0.010397487273908806,0.007822685788787484,0.0025748014851213214,0.0025748014851213214
bananas,0.00790642261453482,0.010430247718383311,-0.002523825103848491,0.002523825103848491
salad-dressings,0.00790642261453482,0.010430247718383311,-0.002523825103848491,0.002523825103848491
pies-and-tarts,0.018412217047546843,0.020860495436766623,-0.0024482783892197796,0.0024482783892197796
caribbean,0.006715043864399437,0.009126466753585397,-0.00241142288918596,0.00241142288918596
omelets-and-frittatas,0.006065200909780136,0.003911342894393742,0.0021538580153863942,0.0021538580153863942
dips,0.021661431820643343,0.01955671447196871,0.0021047173486746333,0.0021047173486746333
refrigerator,0.021661431820643343,0.01955671447196871,0.0021047173486746333,0.0021047173486746333
chocolate,0.03985703454998375,0.03780964797913951,0.002047386570844245,0.002047386570844245
saltwater-fish,0.025343875230152715,0.027379400260756193,-0.002035525030603478,0.002035525030603478
salmon,0.011047330228528105,0.01303780964797914,-0.0019904794194510345,0.0019904794194510345
asian,0.058052637279324165,0.0560625814863103,0.0019900557930138674,0.0019900557930138674
chinese,0.008447958410050905,0.010430247718383311,-0.0019822893083324064,0.0019822893083324064
german,0.0058485865915737035,0.003911342894393742,0.0019372436971799613,0.0019372436971799613
broccoli,0.009747644319289504,0.007822685788787484,0.00192495853050202,0.00192495853050202
condiments-etc,0.04635546409617676,0.048239895697522815,-0.0018844316013460552,0.0018844316013460552
broil,0.008556265569154122,0.010430247718383311,-0.0018739821492291895,0.0018739821492291895
lemon,0.007039965341709087,0.005215123859191656,0.0018248414825174312,0.0018248414825174312
spinach,0.008664572728257337,0.010430247718383311,-0.0017656749901259743,0.0017656749901259743
rice,0.026535253980288095,0.024771838331160364,0.0017634156491277315,0.0017634156491277315
black-beans,0.006065200909780136,0.007822685788787484,-0.001757484879007348,0.001757484879007348
english,0.00693165818260587,0.005215123859191656,0.0017165343234142143,0.0017165343234142143
fish,0.03552474818585508,0.03389830508474576,0.0016264431011093206,0.0016264431011093206
long-grain-rice,0.005523665114264053,0.003911342894393742,0.0016123222198703106,0.0016123222198703106
toddler-friendly,0.01927867432037258,0.020860495436766623,-0.0015818211163940443,0.0015818211163940443
technique,0.047980071482725005,0.04954367666232073,-0.0015636051795957229,0.0015636051795957229
chili,0.0075815011372251705,0.009126466753585397,-0.0015449656163602265,0.0015449656163602265
christmas,0.03151738329903607,0.02998696219035202,0.0015304211086840484,0.0015304211086840484
sauces,0.022311274775262645,0.020860495436766623,0.0014507793384960221,0.0014507793384960221
gluten-free,0.022311274775262645,0.020860495436766623,0.0014507793384960221,0.0014507793384960221
vegan,0.04029026318639662,0.041720990873533245,-0.001430727687136625,0.001430727687136625
oranges,0.005090436477851186,0.00651890482398957,-0.001428468346138384,0.001428468346138384
middle-eastern,0.009206108523773422,0.007822685788787484,0.0013834227349859372,0.0013834227349859372
low-fat,0.09379399978338568,0.09517601043024772,-0.0013820106468620391,0.0013820106468620391
greens,0.018303909888443628,0.01694915254237288,0.0013547573460707465,0.0013547573460707465
superbowl,0.006498429546193003,0.007822685788787484,-0.0013242562425944812,0.0013242562425944812
curries,0.005198743636954403,0.003911342894393742,0.0012874007425606607,0.0012874007425606607
soy-tofu,0.005198743636954403,0.003911342894393742,0.0012874007425606607,0.0012874007425606607
savory-sauces,0.009097801364670205,0.007822685788787484,0.0012751155758827203,0.0012751155758827203
squash,0.01689591682010181,0.01564537157757497,0.001250545242526841,0.001250545242526841
for-1-or-2,0.09249431387414708,0.09126466753585398,0.0012296463382931028,0.0012296463382931028
lentils,0.00530705079605762,0.00651890482398957,-0.0012118540279319502,0.0012118540279319502
eggs,0.03769089136791942,0.03650586701434159,0.0011850243535778335,0.0011850243535778335
cobblers-and-crisps,0.005090436477851186,0.003911342894393742,0.0011790935834574438,0.0011790935834574438
hand-formed-cookies,0.008123036932741254,0.009126466753585397,-0.0010034298208441428,0.0010034298208441428
savory-pies,0.005523665114264053,0.00651890482398957,-0.0009952397097255173,0.0009952397097255173
pizza,0.007473193978121954,0.00651890482398957,0.0009542891541323836,0.0009542891541323836
citrus,0.015271309433553558,0.014341590612777053,0.0009297188207765053,0.0009297188207765053
crab,0.008339651250947688,0.009126466753585397,-0.000786815502637709,0.000786815502637709
romantic,0.02014513159319831,0.020860495436766623,-0.0007153638435683125,0.0007153638435683125
kosher,0.02014513159319831,0.01955671447196871,0.0005884171212296001,0.0005884171212296001
coconut,0.007256579659915521,0.007822685788787484,-0.0005661061288719637,0.0005661061288719637
lamb-sheep,0.0057402794324704865,0.005215123859191656,0.0005251555732788309,0.0005251555732788309
pancakes-and-waffles,0.008231344091844471,0.007822685788787484,0.00040865830305698674,0.00040865830305698674
served-cold,0.032275533412758586,0.03259452411994785,-0.00031899070718926364,0.00031899070718926364
italian,0.030975847503519983,0.03129074315514994,-0.0003148956516299539,0.0003148956516299539
ham,0.0075815011372251705,0.007822685788787484,-0.00024118465156231384,0.00024118465156231384
french,0.0075815011372251705,0.007822685788787484,-0.00024118465156231384,0.00024118465156231384
coffee-cakes,0.004982129318747969,0.005215123859191656,-0.0002329945404436866,0.0002329945404436866
stir-fry,0.008014729773638037,0.007822685788787484,0.00019204398485055292,0.00019204398485055292
thanksgiving,0.017112531138308244,0.01694915254237288,0.0001633785959353623,0.0001633785959353623
shrimp,0.019711902956785442,0.01955671447196871,0.00015518848481673245,0.00015518848481673245
healthy,0.17480775479259178,0.17470664928292046,0.00010110550967132315,0.00010110550967132315
cheesecake,0.00530705079605762,0.005215123859191656,9.192693686596413e-05,9.192693686596413e-05
indian,0.011697173183147407,0.011734028683181226,-3.685550003381874e-05,3.685550003381874e-05
casseroles,0.02870139716235243,0.028683181225554105,1.8215936798324922e-05,1.8215936798324922e-05
cake-fillings-and-frostings,0.005198743636954403,0.005215123859191656,-1.6380222237252773e-05,1.6380222237252773e-05
